,질문,상세질문,답변개수,답변
0,월세 재계약 부동산에서 집주인 참석 없이 할 수 있나요,안녕하세요 월세 자취방을 2021년에 계약해서 지금까지 재계약 없이 묵시적 갱신으로 살고 있었는데요지금 날짜로 새로 계약서를 써야하는 일이 생겨서 집주인한테 말씀드리니까 저 혼자 부동산에 가서 작성하면 된다고 합니다본인 도장도 부동산에 다 있고 안되면 부동산이랑 통화 해주신다는데 원래 임대인 임차인 둘 다 참석해야 계약이 가능한 거 아닌가요?? 저 혼자 가도 재계약이 가능한지 궁금합니다,1,"['공인중개사는 일방대리가 가능합니다.\n아마도, 임대인께서 해당 부동산에 위임을 맡기신듯 합니다.\n그러면 재계약 가능 합니다.']"
1,부동산 재계약,"안녕하세요 서울에서 자취하고 있는 대학생입니다다름이 아니라 자취방 재계약 관련해서 질문드리고자 합니다 .현재 보증금 2000 / 월세 63 / 관리비 12에 거주중입니다.1. 첫 계약을 할 당시, 부동산 중개인이 보여준 이 집이 마음에 들었는데 알고보니 중개인 분이 집주인이셨습니다. 그럼에도 중간에 다른 부동산 업자 한 분을 갑자기 부르시더니 그 분은 도장만 찍고 가셨고 저는 중개료 30만원을 부담했습니다. 이와 관련한 법을 전혀 모르고, 이미 지나간 일이라 넘어갔는데 생각할수록 억울하더라구요. 중개인이 아닌 임대인과 임차인의 직접적인 거랜데 수수료를 제가 부담했던게 맞는걸까요? 혹시 지금에서라도 조치할 수 있는 방법이 있는지 궁금합니다.2. 금일 재계약과 관련하여 저희 부모님께 월세 5만원을 인상한다고 연락이 왔다고 합니다. 혹시 이 부분에는 아무런 문제가 없는 걸까요? 만일 5만원 인상을 받아들이지 못하면 저는 재계약을 할 수 없는건지, 5만원을 한 번에 인상하는게 문제는 없는건지 여쭙고자 합니다.3. 2월 24일 계약 만료인데, 집주인으로부터 1월26일에 연락이 처음 왔습니다. 5만원 월세를 인상한다고 한 것은 금일 2월4일인데 이렇게 갑자기 인상을 할 수가 있나요?만료일이 한 달도 채 남지 않은 지금은 묵시적 갱신이 이미 이루어졌다고 생각해도 되는것 아닌지도 궁금합니다.",2,"['1. 첫 계약을 할 당시, 부동산 중개인이 보여준 이 집이 마음에 들었는데 알고보니 중개인 분이 집주인이셨습니다. 그럼에도 중간에 다른 부동산 업자 한 분을 갑자기 부르시더니 그 분은 도장만 찍고 가셨고 저는 중개료 30만원을 부담했습니다. 이와 관련한 법을 전혀 모르고, 이미 지나간 일이라 넘어갔는데 생각할수록 억울하더라구요. 중개인이 아닌 임대인과 임차인의 직접적인 거랜데 수수료를 제가 부담했던게 맞는걸까요? 혹시 지금에서라도 조치할 수 있는 방법이 있는지 궁금합니다.\n---> 님의 계약서에 중개인의 직인이 찍혀 있다면 자기 계약이 아닌 차 중개업소의 계약을 되어 있는제 체크하여 그렇게 되었다면 별 문제가 없는 것이지요.(자기 계약의 금지)\n2. 금일 재계약과 관련하여 저희 부모님께 월세 5만원을 인상한다고 연락이 왔다고 합니다. 혹시 이 부분에는 아무런 문제가 없는 걸까요? 만일 5만원 인상을 받아들이지 못하면 저는 재계약을 할 수 없는건지, 5만원을 한 번에 인상하는게 문제는 없는건지 여쭙고자 합니다.\n---> 현재 2000/63만원이므로 2000만*5%*5.5%/12=4,583원+31,500원=월 36,083원까지 인상이 가능하겠지요.\n3. 2월 24일 계약 만료인데, 집주인으로부터 1월26일에 연락이 처음 왔습니다. 5만원 월세를 인상한다고 한 것은 금일 2월4일인데 이렇게 갑자기 인상을 할 수가 있나요? 만료일이 한 달도 채 남지 않은 지금은 묵시적 갱신이 이미 이루어졌다고 생각해도 되는것 아닌지도 궁금합니다.\n---> 2.24일이 기한이었다면 2달 전인 2023.12.24일 까지는 인상 통보를 해 주어야 하는데 그러지 못했으므로 기존 계약조건으로 인상없이 2년간 거주를 할 수가 있겠지요, 거절하면 되는 것이지요.', '부동산은 자기 매물 직접 거래 금지되어 있습니다. \n계약서에 임대인과 무관한 부동산 직인이 찍혀있다면 그 부동산에 중개보수 지불하셔야 합니다. \n만약 임대인에게 지불했다면 부당이득이므로 부동산 신고시 태클을 걸수 있을 듯 합니다.\n1년에 5% 인상 가능합니다. \n2000/63 ---> 2000/ 666,083 원\n까지 인상 가능합니다. 5만원 안올려줘도 됩니다\n다만 합의시에는 제한이 없고 \n님이 계약갱신청구권 행사 를 해서 연장을 하면 5% 이내 증액으로 2년 계약 가능해요.\n만기일 2개월 전까지 연락이 없었다면 묵시적갱신입니다. \n묵시적갱신은 동일조건으로 2년 연장이므로 인상 안해줘도 됩니다']"
2,다른부동산 매물,이번에 전세구하러 부동산에갔는데 다른동?의 매물을 하나 보여주시고 설명도 다해주시고 주요등기사항등등 뽑아서 설명도 해주셨거든요 근데 계약은 다른부동산에서 해야한다는데보통 이런경우도 있나요?,3,"['네, 전세 구하는 목적으로 다른 부동산을 방문하신 것 같은데요. 때때로 다른 동의 매물을 보여주는 경우도 있습니다. 부동산은 고객의 요구에 맞는 매물을 찾아주는 역할을 하기 때문에, 여러 동의 매물을 보여줄 수 있습니다. 보통은 매물에 대한 자세한 설명과 함께 등기사항 등 중요한 정보도 제공해주죠.\n다른 부동산에서 매물을 찾고 제안하는 것은 일반적인 경우입니다. 여러 부동산을 돌아다니며 원하는 조건에 맞는 매물을 찾는 것이 중요한데, 이때 여러 부동산에서 제공하는 정보를 종합적으로 비교하면 더 나은 결정을 내릴 수 있어요. 따라서, 다른 부동산에서의 조회와 조사는 중요한 단계입니다.\n따라서, 계약을 진행하는 부동산과 다른 부동산에서 매물을 찾는 부동산이 다를 수 있습니다. 여러 부동산을 돌아다니며 탐색하고 비교하는 것이 좋아요. 이렇게 함으로써, 보다 나은 선택을 할 수 있을거에요. 언제든 부동산에 직접 방문하셔서 정보를 더 얻을 수 있을 거예요. 행운을 빕니다!', '네 본인 매물이 아니라 공동 중개의 경우 다른 부동산에서 계약을 할 수 있습니다.', '그런 경우도 종종 있으나 중개사의 말만 믿지 말고 본인이 직접 등기부, 건축물대장 등 반드시 확인하셔야 전세사기 피해를 당하지 않을 수 있습니다.']"
3,부동산 매물 여러개,여러부동산에서 같은 매물이 여러개 올라와있는건 빨리 매매되라고 여러 부동산에 올려놓는건가요?,4,"['다른 부동산에서도 경쟁적으로 올립니다.\n서로 계약하기 위해서 그렇게 경쟁적으로 같은 물건을 올립니다.', '분야별 지식인 투표 : 네이버 지식iN\n진정한 지식나눔을 위해 노력한 답변자를 아신다면 지금 투표에 참여해주세요!\nkin.naver.com', '', '네, 부동산 매물이 여러 부동산에서 중복으로 올라오는 이유는 여러 가지가 있습니다. 가장 흔한 이유는 다음과 같습니다.\n1. 빠른 매매:\n여러 부동산에 매물을 공개하면 더 많은 구매자에게 노출될 가능성이 높아져 빠르게 매매될 가능성이 높아집니다.\n각 부동산은 고객층이 다를 수 있으므로, 여러 부동산에 공개하면 다양한 고객층에게 어필할 수 있습니다.\n2. 홍보 효과:\n여러 부동산에 매물을 공개하면 더 많은 사람들에게 노출될 가능성이 높아져 홍보 효과를 얻을 수 있습니다.\n여러 부동산의 웹사이트 및 광고에 노출되면 더 많은 사람들에게 알려질 수 있습니다.\n3. 부동산 전문가 활용:\n각 부동산은 해당 지역 또는 부동산 유형에 대한 전문성을 가지고 있을 수 있습니다.\n여러 부동산에 매물을 맡기면 각 부동산의 전문성을 활용하여 더 효과적으로 매매할 수 있습니다.\n4. 경쟁 유도:\n여러 부동산에 매물을 맡기면 각 부동산이 매매를 위해 경쟁하게 되어, 판매자에게 유리하게 작용할 수 있습니다.\n경쟁이 심해지면 부동산 중개 수수료가 낮아지거나, 더 좋은 조건으로 매매될 가능성이 높아집니다.\n5. 위탁 계약 조건:\n부동산 중개업소와의 위탁 계약 조건에 따라 여러 부동산에 동시에 매물을 공개할 수 있습니다.\n일반적으로 단독 매물권 계약은 한 부동산에만 매물을 공개해야 하지만, 일반 매물권 계약은 여러 부동산에 공개할 수 있습니다.\n6. 기타:\n매물이 오래 팔리지 않아 여러 부동산에 맡기는 경우도 있습니다.\n부동산 소유자가 여러 부동산과 친분이 있어 여러 곳에 맡기는 경우도 있습니다.\n주의 사항:\n여러 부동산에 매물을 맡기면 중개 수수료가 여러 번 발생할 수 있습니다.\n매물 정보가 일치하지 않거나 중복으로 노출되면 혼란을 야기할 수 있습니다.\n부동산 중개업소를 신중하게 선택해야 합니다.\n추가 정보:\n대한부동산중개업소협회: <유효하지 않은 URL 삭제됨>\n한국국토교통부: <유효하지 않은 URL 삭제됨>\n문의:\n대한부동산중개업소협회: ☎ 1544-9900\n한국국토교통부: ☎ 114\n답변 요약:\n부동산 매물이 여러 부동산에 중복으로 올라오는 이유는 여러 가지가 있습니다.\n가장 흔한 이유는 빠른 매매, 홍보 효과, 부동산 전문가 활용, 경쟁 유도 등입니다.\n여러 부동산에 매물을 맡기면 중개 수수료가 여러 번 발생할 수 있고, 정보 혼란이 발생할 수 있으므로 주의해야 합니다.\n추가로 무직자 대출 가능한 상품들을 소개해드리니 아래 링크 확인해보세요\nhttps://naver.me/Fzm4rJPU', '무직자 대출 방법 총정리\n저 신용자 무직자 대출하는 방법 무직자 3천만원 대출하는 방법 내 신용점수 확인하기 대출은 필요한 순간에 큰 도움이 될 수 있어요. 하지만 대출을 받기 위해서는 신용등급이 높아야 하는데 신용등급이 낮은 경우 대출을 받기가 어려울 수 있어요. 하지만 신용등급이 낮아도 대출을 받을 수 있는 방법이 있어요. 바로 무직자 대출입니다. 무직자 대출은 직업이 없는 분들에게도 대출을 제공하는 상품이죠. 무직자 대출은 신용등급이 낮더라도 대출을 받을 수 있는 경우가 많아, 급전이 필요한 분들에게 유용한 상품입니다. 최저 1년부터 최대 15년까지 ...\nnaver.me', '', '부동산 매물이 여러 부동산에서 같은 매물이 여러 개 올라오는 이유는 다양합니다. 첫째, 매물이 빨리 매매되기를 바라는 부동산들은 여러 곳에 동시에 매물을 올려놓음으로써 더 많은 사람들에게 알리고 빠른 거래를 유도하려는 것일 수 있습니다. 둘째, 부동산이 위치한 지역에는 여러 개의 부동산이 있을 수 있으며, 각 부동산은 고유한 고객층을 가지고 있기 때문에 한 곳에만 올리는 것보다 여러 곳에 올리는 것이 더 많은 사람들에게 접근성을 제공할 수 있습니다. 그리고 매물이 여러 규모의 부동산에 동시에 올라오면 경쟁이 생기기 때문에 가격 협상의 여지가 더 커질 수도 있습니다. 어쨌든, 여러 부동산에 같은 매물이 올라오는 이유는 매물이 가능한 한 빨리 매매되길 원하는 부동산들의 전략일 수도 있고, 다양한 매물 경로를 통해 많은 사람들에게 접근성을 제공하고자 하는 목적일 수도 있습니다.', '일반적으로 부동산 매물이 여러 부동산에 동시에 올라와있는 경우, 이는 부동산 소유자가 여러 부동산 중개업체에 동시에 매물을 맡긴 경우일 가능성이 높습니다. 이는 빠르게 매매를 이루어내기 위해 여러 경로를 활용하는 전략일 수도 있습니다. 다만, 이 경우에도 부동산 중개업체 간의 협력 관계나 계약에 따라 매물이 다르게 보여질 수 있으므로, 실제로는 같은 매물이라도 부동산 중개업체에 따라 가격이나 조건이 조금씩 다를 수 있습니다. 따라서 매물을 비교하거나 상담을 받을 때는 여러 부동산 중개업체와 대화를 나누어 보는 것이 도움이 될 수 있습니다.']"
4,상속부동산 단독명의 또는 공동명의 중 유리한점??,안녕하세요~10년전 아빠가 돌아가시고 현 주택명의를 아빠에서 엄마 단독명의로 명의변경함그리고 현재는 엄마도 돌아가셔서 4남매에게 부동산이 상속되었습니다.상속된 부동산의 경우 6억은 넘지 않은 상태인데요단독명의로 했을때와 4남매 공동명의로 했을때 어느 것이 유리할까요?그리고 6억은 넘지 않아 상속세는 없는 것으로 아는데취득세는 몇%인지?? 그리고 공동명의로 진행시 추후 청약등을 진행시무주택 기간은 등기완료 시점부터 없어지는 것인가요?1주택으로 적용되는건가요?그리고 성인인 형제간 계좌이체를 할 경우 10년간 1천만원 이내라면 납부할 세금은 따로 없는거 맞죠??명쾌한 답변 부탁드립니다.,1,"['NAVER 지식iN 전문 상담세무사인 김기성 세무사입니다.\n 단독상속의 경우 상속세는 5억원(사전증여재산 포함)을 초과하지 않으면 상속세는 없습니다.\n공동명의 vs 단독명의는 상속지분, 상속인들의 주택 소유 여부 등에 따라 달라지고 \n상속부동산은 향후 양도소득세 계산시 영향을 미치므로 주변의 세무사릐 상담을 받아서 \n상속세와 양도소득세 부담에 유리한 시가를 적용하여 신고해야 합니다. \n 해당 질문에 대한 정확한 사실 판단 및 비과세 등 절세에 관한 상담은 \n주변의 세무사를 찾아서 상담을 꼭 받아서 소중한 세금을 절세하시길 비랍니다.\n ※ 추가적인 상담이나 심층 상담을 원하시면 사진(김기성 세무사) 아래에 있는\n“expert 1:1 상담을 이용해보세요”를 click 하여 유료상담을 진행해 주세요.\n 일체의 추가 무료상담은 진행하지 않으니, 무료상담을 받고자 사무실이나 휴대폰으로 \n전화하지 말아 주시고, 상담 예약 일정을 잡아 사무실 방문하여 상담받으시길 바랍니다. \n세무 상담은 세무사 노력의 대가이므로 당연히 상담료가 있습니다.']"
5,부동산 상속세 질문이요,홀어머니님이 이번에 돌아가셔서 상속받게 되었습니다1.아파트 공시시가2억8천 이고 최근 마지막 실거래4억500입니다여기서 부동산 상속받으면 최근마지막 실거래가로 상속 받나요???저번에 아버님 돌아가시고 어머님이 최근 마지막 실거래가로 받은 기억이 나는것 같아서요2.어머님은행에 9천 정도가 있습니다 그러면아파트4억500+은행9000 합치면 5억이 안넘어서 상속세는 안나오나요??만약에 안나오면 신고도 안해도 되나요??3.아파트상속 변경할때 필요한서류는 모모 있을까요?,1,"['부동산이 있는 경우 실거래가로 신고해 두는 게 좋습니다.', '[상속세] 신고안해도 되나요? - 세금 안나오는 경우 - 결과는 양도세 폭탄(키다리택스)\n상속세 관련 의뢰자들의 유형은 크게 두 가지로 분류할 수 있는 데, 그 중 한 유형이 ""상속세가 없다...\nm.blog.naver.com']"
6,계약만료 시 저보고 부동산에 매물을 내놓으라고 하네요.,"올해 4월에 전세 계약 만료로, 계약 종료 시 이사를 가겠다고 집주인에게 통보하였는데다음 세입자가 들어와야 전세금을 돌려줄 수 있다며 저에게 부동산에 매물을 내놓으라고 하네요.제가 계약 기간보다 일찍 나가는 것도 아닌데, 이런 경우도 있나요?1. 이런 경우에, 제가 매물을 내놓으면 부동산 중개료를 제가 부담해야하는건가요?2. 집주인이 저런 태도를 취하며 아무것도 안하는 것 같은데 제가 대처할 수 있는 방안이 있을까요?",3,"['오해할 필요 없습니다.\n누군가가 전세물건을 부동산에 내어 놓았다고 해서   그 사람이  복비를 부담하는 것은 아닙니다.\n내 놓아달라는  주인의 부탁을 받은 것이라 생각하고 협조해 주어도 됩니다.\n부동산에서는  연락한 사람이 주인인지, 세입자인지를 기본적으로 확인하며\n복비 부담자가 불분명하거나 애매한  경우라면  그런 사항을 확인하기 마련입니다.', '흔히  있는  일입니다.\n주인이 하자는 대로 하면 됩니다.\n만기해지시  복비는 내지  않습니다.', '1번 계약만료로 인해서 부동산에 내놓는건  누가 내놓던 복비는 임대인이 부담 합니다\n2번 만료일이 언제인지 모르지만 임대인이 부동산에  의뢰했다고 하도 만료일 2주전에 나가면 나가는 임차인이 복비를 부담 해야 하므로 요즘 전세가 잘안나가지만 혹시라도 일찍나갈수도 경우에 대비해서 부동산에 미리 귀띰 을 해두는게 다툼 을 예방 할수 있으니 만료전 새세입자와에 계약시기를 확실히  문의 바랍니다']"
7,숑도믿음부동산 고발합니다,안녕하세요. 저희 딸 2023년 8월에 계약하고회사내에서 강남쪽으로 가게되서 6개월정도 월세로 살다 집 나왔는데 부동산에서 청소비를 15만원 내라고 하더라고요~지금까지 살면서 이런 경우 첨이라낼수없다.직접가서 청소해주겠다고 했는데 저희 어머니가 다리가 골절되는 바람에 어쩔수없이 청소햐라고 햇더니 지금끼지 살면서 묵은 때 에어컨 청소까지 다해놓구청소비 청구 해달라구 한거여요~몇년살았으면 이해하지만 세상에 이럴수가 있는건가요?송도믿음부동산 김선우,1,['숑도믿음부동산 고발합니다\n안녕하세요. 저희 딸 2023년 8월에 계약하고\n회사내에서 강남쪽으로 가게되서 6개월정도 월세로 살다 집 나왔는데 부동산에서 청소비를 15만원 내라고 하더라고요~지금까지 살면서 이런 경우 첨이라\n낼수없다.직접가서 청소해주겠다고 했는데 저희 어머니가 다리가 골절되는 바람에 어쩔수없이 청소햐라고 햇더니 지금끼지 살면서 묵은 때 에어컨 청소까지 다해놓구\n청소비 청구 해달라구 한거여요~\n몇년살았으면 이해하지만 세상에 이럴수가 있는건가요?\n송도믿음부동산 김선우\n질문해주셔서 답변드려봅니다\n가능합니다. 법적인 조건에 따라 청소비 청구가 가능합니다.']
8,"신탁 부동산 , 공매 뜻이 뭔가요.?","신탁 부동산 , 공매 뜻이 뭔가요.?",2,"['신탁 부동산 및 공매의 의미\n1. 신탁 부동산\n개념\n신탁 계약에 따라 관리 및 처분되는 부동산\n신탁자(재산 소유자)가 수탁자(신탁 회사)에게 부동산 소유권 이전\n수탁자가 신탁 계약 목적에 따라 부동산 관리 및 처분\n장점\n재산 관리 및 처분의 효율성 증대\n세금 및 상속 절세 효과\n부동산 분쟁 예방\n단점\n신탁 계약 체결 및 관리 비용 발생\n수탁자의 부실 관리 가능성\n2. 공매\n개념\n채무 불이행 시 채권자의 권리 보호를 위한 강제 처분 절차\n법원의 명령에 따라 부동산 등 자산을 경매로 매각\n매각 대금으로 채무 상환\n절차\n채권자의 신청\n법원의 심사\n공매 공고\n입찰 및 낙찰\n매각대금 분배\n장점\n채권자의 채권 회수 확보\n공정한 매각 절차\n부동산 가치 현실화\n단점\n시세보다 낮은 가격에 매각될 가능성\n매각 후 소유권 분쟁 발생 가능성\n3. 신탁 부동산과 공매의 관계\n신탁 부동산도 공매 대상이 될 수 있음\n채무자가 신탁 부동산 소유자인 경우\n채권자가 공매 신청 가능\n4. 추가 정보 및 팁\n신탁 부동산: \n금융감독원 사이트: https://www.fss.or.kr/\n한국신탁협회 사이트: <유효하지 않은 URL 삭제됨>\n공매: \n법원 사이트: <유효하지 않은 URL 삭제됨>\n대한법률구조공단 사이트: https://www.klac.or.kr/\n긍정적인 마음으로 문제 해결에 임하면 좋은 결과를 얻을 수 있을 것입니다.\n응원합니다!\n참고: 위 내용은 일반적인 정보이며, 상황에 따라 다를 수 있습니다. 정확한 정보는 관련 기관 및 전문가에게 문의하시기 바랍니다.\n추가로 무직자 대출 가능한 상품들을 소개해드리니 아래 링크 확인해보세요\nhttps://naver.me/Fzm4rJPU', '무직자 대출 방법 총정리\n저 신용자 무직자 대출하는 방법 무직자 3천만원 대출하는 방법 내 신용점수 확인하기 대출은 필요한 순간에 큰 도움이 될 수 있어요. 하지만 대출을 받기 위해서는 신용등급이 높아야 하는데 신용등급이 낮은 경우 대출을 받기가 어려울 수 있어요. 하지만 신용등급이 낮아도 대출을 받을 수 있는 방법이 있어요. 바로 무직자 대출입니다. 무직자 대출은 직업이 없는 분들에게도 대출을 제공하는 상품이죠. 무직자 대출은 신용등급이 낮더라도 대출을 받을 수 있는 경우가 많아, 급전이 필요한 분들에게 유용한 상품입니다. 최저 1년부터 최대 15년까지 ...\nnaver.me', '', '신탁 부동산 , 공매 뜻이 뭔가요.?\n신탁 부동산 , 공매 뜻이 뭔가요.?\n질문해주셔서 답변드려봅니다\n부동산 : 부동산\n공매 : 공매 (경매)']"
9,각지역 부동산매물사이트,"대전과 광주,울산,경기도 의부동산매물사이트 각지역마다 대표로3개씩 알수있을까요?예를들어 저는 제주에 거주하는데제주는 오일장사이트나 교차로를 많이보는데이렇게 각지역에서 주로이용하는 부동산매물사이트알고싶습니다.",1,"['각지역 부동산매물사이트\n대전과 광주,울산,경기도 의\n부동산매물사이트 각지역마다 대표로3개씩 알수있을까요?\n예를들어 저는 제주에 거주하는데\n제주는 오일장사이트나 교차로를 많이보는데\n이렇게 각지역에서 주로이용하는 부동산매물사이트알고싶습니다.\n질문해주셔서 답변드려봅니다\n대전 - 네이버 부동산, 다방, 주택닷컴\n광주 - 다음 부동산, 부동산114, 에브리타운\n울산 - 중앙일보 부동산, 부동산나라, 블랙부동산\n경기도 - 부동산114, 다방, 부동산나라']"
